City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sur,0,OM,1624739000,57,22.5667,59.5289,85.53,18.21
sawakin,61,SD,1624739000,48,19.1059,37.3321,89.74,3.53
petropavlovsk-kamchatskiy,75,RU,1624739001,100,53.0452,158.6483,48.79,8.95
koulamoutou,82,GA,1624739001,95,-1.1303,12.4736,71.71,2.35
panambi,100,BR,1624739001,82,-28.2925,-53.5017,66.83,7.72
anadyr,40,RU,1624739002,66,64.75,177.4833,48.7,8.95
columbia,40,US,1624738516,52,34.0007,-81.0348,91.74,1.99
dubbo,5,AU,1624739002,93,-32.25,148.6167,39.33,4.61
kampong thum,27,KH,1624739003,83,12.7111,104.8887,77.63,2.91
broome,20,US,1624739003,58,42.2506,-75.833,87.84,1.99
nioro,100,GM,1624739004,78,13.35,-15.75,79.83,9.98
la asuncion,54,VE,1624739004,74,11.0333,-63.8628,85.73,18.41
baykit,100,RU,1624739004,94,61.67,96.37,49.75,3.71
korla,0,CN,1624738896,19,41.7597,86.1469,76.89,13.35
araouane,48,ML,1624739005,15,18.9048,-3.5265,98.65,7.38
clyde river,90,CA,1624739005,93,70.4692,-68.5914,35.83,21.85
diamantino,9,BR,1624738842,26,-14.4086,-56.4461,92.57,7.61
ahipara,100,NZ,1624739006,86,-35.1667,173.1667,61.34,13.22
alindao,83,CF,1624739006,68,5.0267,21.2088,77.36,3.2
chegdomyn,35,RU,1624739007,97,51.1167,133.0167,58.08,0.83
nakamura,100,JP,1624739007,96,32.9833,132.9333,68.0,1.86
ambon,40,ID,1624739008,94,-3.6954,128.1814,75.34,5.75
balucuc,96,PH,1624739008,85,14.9636,120.8378,82.38,3.49
karratha,100,AU,1624739009,46,-20.7377,116.8463,63.79,8.03
richards bay,0,ZA,1624739009,68,-28.783,32.0377,62.55,0.18
linqiong,100,CN,1624739010,85,30.4159,103.4609,75.02,1.68
cabedelo,41,BR,1624739010,72,-6.9811,-34.8339,79.47,19.48
bogande,69,BF,1624739011,35,12.9714,-0.1436,94.12,10.45
humaita,94,BR,1624739011,62,-7.5061,-63.0208,83.98,3.11
stornoway,96,GB,1624739012,82,58.2093,-6.3865,54.93,6.91
albion,75,US,1624739012,77,42.2431,-84.753,82.58,13.8
flowing wells,20,US,1624738756,11,32.294,-111.0098,104.38,1.01
avera,43,US,1624739012,38,33.194,-82.5271,92.91,9.22
sorong,76,ID,1624739013,82,-0.8833,131.25,79.34,3.98
waipawa,100,NZ,1624739013,85,-41.4122,175.5153,57.04,12.37
fairbanks,90,US,1624738814,53,64.8378,-147.7164,66.22,3.0
balabac,100,PH,1624739014,75,7.9868,117.0645,82.51,6.96
sabinas hidalgo,56,MX,1624739014,24,26.5,-100.1667,101.52,13.51
lumphat,89,KH,1624739015,97,13.4878,106.9816,73.65,1.14
vila velha,20,BR,1624739015,73,-20.3297,-40.2925,73.35,8.05
huarmey,1,PE,1624739016,68,-10.0681,-78.1522,69.3,10.31
george,90,ZA,1624739016,71,-33.963,22.4617,51.35,4.61
valparaiso,20,CL,1624738783,59,-33.0393,-71.6273,56.84,8.05
adrar,5,MR,1624738749,12,20.5022,-10.0711,97.39,8.59
okha,18,RU,1624739017,82,53.5739,142.9478,46.35,8.97
nome,90,US,1624739018,71,64.5011,-165.4064,55.47,16.11
yzeure,99,FR,1624739018,78,46.5644,3.355,67.98,6.04
angoche,0,MZ,1624739018,73,-16.2325,39.9086,73.24,8.28
college,75,US,1624739019,53,64.8569,-147.8028,67.21,4.61
havre-saint-pierre,90,CA,1624739019,73,50.2334,-63.5986,68.36,8.05
qaqortoq,100,GL,1624739020,90,60.7167,-46.0333,63.1,2.33
sabha,0,LY,1624739020,11,27.0377,14.4283,94.39,15.37
coruripe,81,BR,1624739020,73,-10.1256,-36.1756,73.98,7.94
naifaru,100,MV,1624739021,75,5.4444,73.3657,82.24,12.8
sakakah,0,SA,1624739021,12,29.9697,40.2064,90.97,8.77
malindi,81,KE,1624739022,76,-3.2175,40.1191,76.33,17.47
jumla,100,NP,1624739022,91,29.2747,82.1838,58.87,2.26
sambava,33,MG,1624739023,89,-14.2667,50.1667,69.67,9.71
santa isabel do rio negro,21,BR,1624739023,71,-0.4139,-65.0192,84.63,3.06
kuznetsk,67,RU,1624739024,90,53.1167,46.6004,63.46,3.76
buk,71,PL,1624739024,62,52.3553,16.5196,68.95,5.93
laredo,1,US,1624738916,33,27.5064,-99.5075,102.2,17.27
suicheng,97,CN,1624739025,85,33.8963,117.9331,76.26,2.13
manta,75,EC,1624738879,73,-0.95,-80.7333,76.78,6.91
tiksi,100,RU,1624739025,87,71.6872,128.8694,34.41,9.22
purranque,7,CL,1624739026,79,-40.9167,-73.1667,47.86,2.24
atambua,68,ID,1624739026,89,-9.1061,124.8925,71.38,5.17
dharchula,69,IN,1624739027,90,29.85,80.5333,69.3,2.35
tanuku,100,IN,1624739027,78,16.75,81.7,81.77,9.06
san isidro,90,PE,1624739028,82,-12.1167,-77.05,65.79,5.75
lata,19,PT,1624739028,84,40.1629,-8.3327,63.91,5.12
den helder,62,NL,1624739029,88,52.9599,4.7593,66.94,9.22
niksic,4,ME,1624738817,70,42.7731,18.9445,75.07,3.74
saint-pierre,75,RE,1624739029,73,-21.3393,55.4781,67.68,5.75
faya,98,SA,1624739029,16,18.3851,42.4509,75.31,6.85
arman,29,RU,1624739030,79,59.7,150.1667,58.89,1.7
shenjiamen,100,CN,1624739030,98,29.9576,122.298,74.08,6.55
saint-francois,0,FR,1624739031,69,46.4154,3.9054,67.44,6.91
chaiyaphum,91,TH,1624739031,78,15.75,102.0,84.06,4.23
riyadh,0,SA,1624739031,10,24.6877,46.7219,93.34,1.92
yumen,86,CN,1624739032,36,40.2833,97.2,74.19,8.01
vardo,75,NO,1624739032,81,70.3705,31.1107,46.38,4.61
natal,0,BR,1624739033,69,-5.795,-35.2094,81.25,19.57
bethal,0,ZA,1624739033,36,-26.4579,29.4655,44.55,4.0
mehamn,100,NO,1624739033,87,71.0357,27.8492,46.85,3.04
kuchera,80,IN,1624739034,49,26.9839,73.9719,87.57,14.54
srednekolymsk,70,RU,1624739034,33,67.45,153.6833,74.32,7.05
umm lajj,0,SA,1624739035,39,25.0213,37.2685,87.89,9.04
cururupu,12,BR,1624739035,72,-1.8283,-44.8683,81.07,4.14
galle,100,LK,1624739035,85,6.0367,80.217,78.91,14.34
narsaq,100,GL,1624739036,87,60.9167,-46.05,62.82,4.45
melo,100,UY,1624739036,98,-32.3667,-54.1833,54.1,2.66
alexandria,0,EG,1624739037,83,31.2156,29.9553,78.76,8.05
flinders,0,AU,1624739037,69,-34.5833,150.8552,52.18,1.99
kintampo,100,GH,1624739037,80,8.0563,-1.7306,74.46,1.7
beringovskiy,9,RU,1624739038,81,63.05,179.3167,39.92,7.74
ostersund,20,SE,1624738789,67,63.1792,14.6357,60.62,12.66
castro,0,BR,1624739038,75,-24.7911,-50.0119,66.65,7.07
daru,94,PG,1624739039,88,-9.0763,143.2092,76.53,11.86
kampene,12,CD,1624739039,50,-3.6,26.6667,71.82,1.07
kansanshi,3,ZM,1624739040,51,-12.0951,26.4273,56.21,2.66
